name,ra_deg,dec_deg,dm,dm_err,galactic_lat
FRB20190425A,255.72,21.52,128.15774,0.00016,33.02
FRB20190425B,210.12,88.6,1031.7236,0.0091,28.46
FRB20190426A,115.04,59.12,340.6624,0.0018,29.19
FRB20190427A,78.93,7.77,455.7828,0.0026,-17.22
FRB20190428A,170.73,23.33,969.4001,0.0022,69.65
FRB20190429A,281.09,59.42,470.884,0.011,23.99
FRB20190429B,329.93,3.96,295.65,0.75,-38.21
FRB20190430B,237.72,62.27,2619.399,0.085,44.2
FRB20190430A,77.7,87.01,339.25,0.19,25.83
FRB20190430C,277.22,24.92,400.561,0.011,15.75
FRB20190501B,261.45,54.36,784.068,0.011,34.05
FRB20190501B,261.45,54.36,784.068,0.011,34.05
FRB20190502A,165.01,59.95,625.7691,0.0047,52.07
FRB20190502B,212.04,64.44,918.6143,0.0092,50.72
FRB20190502C,155.6,82.97,396.835,0.0088,32.63
FRB20190515A,310.15,55.46,450.503,0.069,8.29
FRB20190515B,0.83,3.41,822.1887,0.006,-57.33
FRB20190515C,31.72,20.08,652.39,0.17,-39.38
FRB20190515D,67.13,-5.01,426.0611,0.0054,-33.89
FRB20190516B,167.34,7.37,1235.416,0.048,58.76
FRB20190517D,339.95,41.84,1180.148,0.058,-14.62
FRB20190517B,65.54,73.63,191.72,0.26,16.58
FRB20190517C,87.5,26.62,335.5746,0.0043,-0.37
FRB20190518B,175.11,20.28,913.7722,0.0039,72.39
FRB20190518C,242.01,4.64,444.0795,0.0035,38.1
FRB20190518D,174.72,89.31,202.4551,0.0057,27.78
FRB20190518A,29.5031258,65.7167542,349.607,0.05,3.73
FRB20190518E,29.5031258,65.7167542,350.1451,0.0072,3.72
